"Overlay","File","SizeBytes","Sha256"
"r3-x64-off","Microsoft.Extensions.Hosting.Abstractions.xml","46893","E6956E144370860D2384AB0F6DAECC2CB0FEC9B1EAE7C9EEACCC1E1D9EA71AB9"
"r3-x64-off","Microsoft.Extensions.Hosting.dll","136704","79390D89524959816A5FB01E1AD629BF3197A8D35AA4C442DC37D8F511778037"
"r3-x64-off","Microsoft.Extensions.Http.dll","180736","08D90389982561CAFAED5799106AE71990DBF57DA0035AB6B127B9E67288017C"
"r3-x64-off","Microsoft.Extensions.Identity.Core.dll","531456","51DBF672CD7986FA31EBF19481939BF3EB8095B4632749763FC41EF99903E1AF"
"r3-x64-off","Microsoft.Extensions.Identity.Stores.dll","71680","F21BC30FAFF84D752716E2BC5AE5BE1C311292F97D962EB672E9B0F72B84E3CA"
"r3-x64-off","Microsoft.Extensions.Localization.Abstractions.dll","11776","3AE4C49D68E9A6AB3572E81F6FDB0CB19D8EF8CD88704545AB40805F5DEC5255"
"r3-x64-off","Microsoft.Extensions.Localization.dll","38400","5321365D4DF0EB9C7EF641B242723D22819BFD34AB049DA51D86192DC7EDABB0"
"r3-x64-off","Microsoft.Extensions.Logging.Abstractions.dll","56832","15876E96D7A36BA0A4CBF029B443E69A7400520B47AB058B88D3C4C6155CD7F1"
"r3-x64-off","Microsoft.Extensions.Logging.Abstractions.xml","91635","F46E30588566ACCD2C530D9B126A4A3D4D6E2021266E54B305F79586367E742C"
"r3-x64-off","Microsoft.Extensions.Logging.Configuration.dll","28160","98530F2D9FBE54E10B25A945D2A332F9B002DC82F6CC516AC58A5476F4DC8F89"
"r3-x64-off","Microsoft.Extensions.Logging.Console.dll","155136","5227F13C53F9F4B1B147827B4946CEDE0F37221106BC23EB8D3F56EB420F13FC"
"r3-x64-off","Microsoft.Extensions.Logging.Debug.dll","12800","8E0942A8FEE6D493988203E680B128585088CF69F8F4D23D8F88F5A3B06C0E77"
"r3-x64-off","Microsoft.Extensions.Logging.dll","80896","982FB6C4378E3AEF2F69B6D7F9E7094177757383CE66AB0B2C8341B2F84DB876"
"r3-x64-off","Microsoft.Extensions.Logging.EventLog.dll","33280","B7C7C4EFC37A36C751F94232D4B048683A92B9F1B8C96118F96EF3675751D679"
"r3-x64-off","Microsoft.Extensions.Logging.EventSource.dll","45056","B4C0895140436306A76EA84802E6EBD5454A630F45BF3FF0272EF0714F19766E"
"r3-x64-off","Microsoft.Extensions.Logging.TraceSource.dll","18944","383391F7E7338E20F1450E74D18473E27219A796CB400328226A95C8D5A724C9"
